timestamp,row,col,correct
1728623240.450912,,4,False
1728623241.0637636,0,,False
1728623241.682076,2,,False
1728623242.3007383,,2,True
1728623242.9200184,3,,False
1728623243.5329373,,1,False
1728623244.1499302,,0,False
1728623244.7642245,4,,False
1728623245.386549,,3,False
1728623246.007339,1,,True
1728623246.6256216,1,,True
1728623247.2445986,,3,False
1728623247.8683982,4,,False
1728623248.4858217,,2,True
1728623249.100985,2,,False
1728623249.7197778,,4,False
1728623250.3385797,3,,False
1728623250.9555287,,1,False
1728623251.5731723,0,,False
1728623252.1871343,,0,False
1728623252.806046,0,,False
1728623253.4213376,,1,False
1728623254.0393891,4,,False
1728623254.6557014,2,,False
1728623255.2746158,,4,False
1728623255.8942232,,0,False
1728623256.5119896,,2,True
1728623257.1352897,,3,False
1728623257.7483578,3,,False
1728623258.371157,1,,True
1728623258.983483,2,,False
1728623263.9925077,3,,False
1728623264.6126394,,4,True
1728623265.2315712,4,,False
1728623265.8495948,0,,True
1728623266.4692338,,0,False
1728623267.0855947,,1,False
1728623267.7038515,1,,False
1728623268.3211503,,2,False
1728623268.9432511,,3,False
1728623269.5771675,4,,False
1728623270.1942449,2,,False
1728623270.813614,,2,False
1728623271.4340413,,3,False
1728623272.0535834,,1,False
1728623272.6677082,3,,False
1728623273.2887928,,4,True
1728623273.9049163,0,,True
1728623274.5253103,,0,False
1728623275.1457956,1,,False
1728623275.7710574,,2,False
1728623276.3878589,4,,False
1728623277.0059597,,4,True
1728623277.6224415,0,,True
1728623278.2412384,,1,False
1728623278.8600929,,3,False
1728623279.4791255,3,,False
1728623280.1028676,,0,False
1728623280.721609,2,,False
1728623281.3374445,1,,False
1728623281.9585478,,1,False
1728623286.9747295,,2,False
1728623287.5942833,0,,False
1728623288.2104673,1,,False
1728623288.8382726,3,,False
1728623289.451745,2,,True
1728623290.0735304,,3,False
1728623290.7024279,4,,False
1728623291.3209333,,0,False
1728623291.9419236,,4,False
1728623292.576676,0,,False
1728623293.1987314,,0,False
1728623293.820032,4,,False
1728623294.440557,,3,False
1728623295.0605257,2,,True
1728623295.6833334,,4,False
1728623296.3036757,,1,True
1728623296.917234,1,,False
1728623297.5407178,,2,False
1728623298.1672025,3,,False
1728623298.7828856,3,,False
1728623299.3985686,1,,False
1728623300.0215323,,1,True
1728623300.6462722,,3,False
1728623301.2628262,4,,False
1728623301.8849738,,4,False
1728623302.5057175,2,,True
1728623303.1264591,,2,False
1728623303.7430239,0,,False
1728623304.3602173,,0,False
1728623304.9794195,1,,False
1728623309.985724,,0,False
1728623310.6009154,2,,True
1728623311.2203152,,3,False
1728623311.8403018,,1,True
1728623312.4622953,,4,False
1728623313.0758271,,2,False
1728623313.6916792,3,,False
1728623314.3094373,4,,False
1728623314.9293165,0,,False
1728623315.5521283,3,,False
1728623316.17241,,0,False
1728623316.7896748,4,,False
1728623317.4091136,1,,False
1728623318.0259044,2,,True
1728623318.6451101,,2,False
1728623319.2645013,,4,False
1728623319.8806057,0,,False
1728623320.5023859,,3,False
1728623321.119424,,1,True
1728623321.7410405,,0,False
1728623322.362523,2,,True
1728623322.9822683,0,,False
1728623323.5994844,,3,False
1728623324.2147725,1,,False
1728623324.8350782,,1,True
1728623325.4536264,4,,False
1728623326.0707917,,2,False
1728623326.6935806,,4,False
1728623327.3173597,3,,False
1728623327.9382455,4,,False
1728623332.9571598,,3,False
1728623333.5760734,0,,False
1728623334.188815,1,,False
1728623334.8033073,2,,True
1728623335.4218812,,0,False
1728623336.0412443,,4,True
1728623336.6583166,,1,False
1728623337.2801535,3,,False
1728623337.8996468,,2,False
1728623338.5185614,,0,False
1728623339.1348543,3,,False
1728623339.7517672,2,,True
1728623340.3733563,,1,False
1728623340.9917505,,3,False
1728623341.608502,0,,False
1728623342.230024,4,,False
1728623342.8476615,1,,False
1728623343.4676673,,2,False
1728623344.0886006,,4,True
1728623344.7068174,,2,False
1728623345.3270683,,0,False
1728623345.9484022,0,,False
1728623346.563431,2,,True
1728623347.184352,3,,False
1728623347.8017266,,3,False
1728623348.420703,,1,False
1728623349.0355937,4,,False
1728623349.6579087,1,,False
1728623350.2771914,,4,True
1728623350.8965304,0,,False
